,Nom,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie,Mois,Année
327,Hostages,5.3,Série de   Rotem Shamir,"['thriller', 'drame']",1.0,CBS,45.0,"['23', 'septembre', '2013']",septembre,2013
328,Ravenswood,4.3,"Série de   Joseph Dougherty,   Oliver Goldstick et   I. Marlene King","['épouvante-horreur', 'drame']",1.0,Freeform,45.0,"['22', 'octobre', '2013']",octobre,2013
329,Mob City,6.3,Série de   Frank Darabont,"['policier', 'drame']",1.0,TNT (US),45.0,"['4', 'décembre', '2013']",décembre,2013
330,Gargantia on the Verdurous Planet,6.9,"Anime de   Kazuya Murata,   Gen Urobuchi et   Naruko Hanaharu","['animation', 'comédie', 'drame']",1.0,Tokyo MX,25.0,"['2', 'mars', '2013']",mars,2013
331,Graceland,6.2,Série de   Jeff Eastin,"['policier', 'drame', 'action']",3.0,USA Network,45.0,"['6', 'juin', '2013']",juin,2013
332,Low Winter Sun (US),6.1,Série de   Chris Mundy,"['policier', 'drame']",1.0,AMC,60.0,"['11', 'août', '2013']",août,2013
333,The Bridge,6.6,"Série de   Meredith Stiehm,   Björn Stein et   Elwood Reid","['policier', 'drame']",2.0,FX,45.0,"['10', 'juillet', '2013']",juillet,2013
334,Plebs,7.0,Série de   Tom Basden et   Sam Leifer,['comédie'],5.0,ITV2,30.0,"['25', 'mars', '2013']",mars,2013
335,Log Horizon,6.8,Anime de   Shinji Ishihara et   Mamare Tôno,"['aventure', 'action', 'fantastique']",2.0,NHK,25.0,"['6', 'septembre', '2013']",septembre,2013
336,Le mari de la ministre,7.1,Série de   Paula Milne,"['drame', 'mini-série']",1.0,BBC Two,55.0,"['25', 'avril', '2013']",avril,2013
337,Silver Spoon,7.3,Anime de   Hiromu Arakawa et   Tomohiko Itou,"['animation', 'drame', 'comédie']",1.0,Fuji TV,25.0,"['12', 'juillet', '2013']",juillet,2013
338,BiTS,8.1,Émission Web de   Joseph Vasconi et   Rafik Djoumi,['documentaire'],4.0,Arte Creative,10.0,"['16', 'octobre', '2013']",octobre,2013
339,Getting On (US),6.6,Série de   Mark V. Olsen et   Will Scheffer,"['comédie', 'dramatique']",3.0,HBO,30.0,"['24', 'novembre', '2013']",novembre,2013
340,True Detective,8.2,Série de   Nic Pizzolatto,"['policier', 'drame', 'anthologique']",3.0,HBO,59.0,"['12', 'janvier', '2014']",janvier,2014
341,Fargo,8.2,Série de   Noah Hawley,"['comédie', 'policier', 'drame']",4.0,FX,50.0,"['15', 'avril', '2014']",avril,2014
342,The Leftovers,7.7,Série de   Damon Lindelof et   Tom Perrotta,"['drame', 'fantastique']",3.0,HBO,55.0,"['30', 'juin', '2014']",juin,2014
343,The Knick,7.7,Série de   Jack Amiel et   Michael Begler,['drame'],2.0,Cinemax,55.0,"['8', 'août', '2014']",août,2014
344,Penny Dreadful,6.8,Série de   John Logan,"['fantastique', 'épouvante-horreur', 'drame']",3.0,Showtime,60.0,"['11', 'mai', '2014']",mai,2014
345,Les 100,5.9,Série de   Jason Rothenberg,"['action', 'drame', 'science-fiction']",7.0,The CW,41.0,"['19', 'mars', '2014']",mars,2014
346,Silicon Valley,7.3,"Série de   Mike Judge,   John Altschuler et   Dave Krinsky",['comédie'],6.0,HBO,30.0,"['6', 'avril', '2014']",avril,2014
347,Gotham,6.1,Série de   Bruno Heller,"['policier', 'action', 'drame']",5.0,FOX (US),45.0,"['18', 'août', '2014']",août,2014
348,Halt and Catch Fire,7.5,Série de   Christopher Cantwell et   Christopher C. Rogers,['drame'],4.0,AMC,45.0,"['1', 'juin', '2014']",juin,2014
349,Flash,5.7,"Série de   Greg Berlanti,   Andrew Kreisberg et   Geoff Johns","['action', 'aventure', 'drame']",7.0,The CW,45.0,"['7', 'octobre', '2014']",octobre,2014
350,Mr. Robot,7.6,Série de   Sam Esmail,"['drame', 'thriller']",4.0,USA Network,50.0,"['24', 'juin', '2015']",juin,2015
351,Marvel's Daredevil,7.2,Série de   Drew Goddard,"['action', 'aventure', 'policier']",3.0,Netflix,55.0,"['10', 'avril', '2015']",avril,2015
352,Sense8,7.3,"Série de   J. Michael Straczynski,   Lilly Wachowski et   Lana Wachowski","['science-fiction', 'drame']",2.0,Netflix,55.0,"['5', 'juin', '2015']",juin,2015
353,Narcos,7.7,"Série de   Doug Miro,   Carlo Bernard et   Chris Brancato","['policier', 'drame', 'action']",3.0,Netflix,50.0,"['28', 'août', '2015']",août,2015
354,Marvel's Jessica Jones,6.7,Série de   Melissa Rosenberg,"['action', 'policier', 'drame']",3.0,Netflix,50.0,"['20', 'novembre', '2015']",novembre,2015
355,Master of None,7.3,Série de   Alan Yang et   Aziz Ansari,['comédie'],2.0,Netflix,30.0,"['6', 'novembre', '2015']",novembre,2015
356,Man Seeking Woman,7.2,Série de   Simon Rich,"['fantastique', 'comédie']",3.0,FX,30.0,"['14', 'janvier', '2015']",janvier,2015
357,Le Maître du Haut-Château,7.0,Série de   Frank Spotnitz,"['drame', 'thriller']",4.0,Prime Video,60.0,"['15', 'janvier', '2015']",janvier,2015
358,Bloodline,7.0,"Série de   Glenn Kessler,   Todd A. Kessler et   Daniel Zelman","['thriller', 'drame']",3.0,Netflix,60.0,"['20', 'mars', '2015']",mars,2015
359,UnREAL,6.9,Série de   Marti Noxon et   Sarah Gertrude Shapiro,['drame'],4.0,Hulu,45.0,"['1', 'juin', '2015']",juin,2015
360,Stranger Things,7.7,Série de   Matt Duffer et   Ross Duffer,"['science-fiction', 'fantastique', 'épouvante-horreur']",4.0,Netflix,51.0,"['15', 'juillet', '2016']",juillet,2016
361,Westworld,7.7,Série de   Jonathan Nolan et   Lisa Joy,"['science-fiction', 'western', 'thriller']",3.0,HBO,58.0,"['2', 'octobre', '2016']",octobre,2016
362,The Night Of,8.0,Série de   Richard Price et   Steven Zaillian,"['drame', 'mini-série', 'thriller']",1.0,HBO,60.0,"['10', 'juillet', '2016']",juillet,2016
363,22.11.63,7.1,Série de   Bridget Carpenter,"['science-fiction', 'mini-série', 'drame']",1.0,Hulu,50.0,"['15', 'février', '2016']",février,2016
364,American Crime Story,7.6,Série de   Scott Alexander et   Larry Karaszewski,"['policier', 'drame', 'judiciaire']",3.0,FX,52.0,"['2', 'février', '2016']",février,2016
365,The OA,7.2,Série de   Brit Marling et   Zal Batmanglij,"['fantastique', 'thriller', 'science-fiction']",2.0,Netflix,71.0,"['16', 'décembre', '2016']",décembre,2016
366,Atlanta,7.9,Série de   Donald Glover,"['comédie', 'drame']",2.0,FX,25.0,"['6', 'septembre', '2016']",septembre,2016
367,Preacher,7.0,"Série de   Seth Rogen,   Evan Goldberg et   Sam Catlin","['fantastique', 'drame', 'action']",4.0,AMC,40.0,"['22', 'mai', '2016']",mai,2016
368,The Crown,7.5,Série de   Peter Morgan,"['drame', 'historique']",4.0,Netflix,57.0,"['4', 'novembre', '2016']",novembre,2016
369,Vinyl,7.1,"Série de   Mick Jagger,   Martin Scorsese,   Rich Cohen...","['drame', 'musique']",1.0,HBO,50.0,"['14', 'février', '2016']",février,2016
370,The Get Down,7.3,Série de   Baz Luhrmann et   Stephen Adly Guirgis,['drame'],1.0,Netflix,60.0,"['12', 'août', '2016']",août,2016
371,Lastman,8.2,Dessin animé de   Jérémie Périn,"['animation', 'action']",1.0,France 4,15.0,"['22', 'novembre', '2016']",novembre,2016
372,"Dirk Gently, détective holistique",7.5,Série de   Max Landis,"['comédie', 'thriller', 'policier']",2.0,BBC America,45.0,"['22', 'octobre', '2016']",octobre,2016
373,The Night Manager,7.2,Série de   Susanne Bier,"['thriller', 'policier', 'drame']",1.0,BBC One,60.0,"['22', 'août', '2016']",août,2016
374,Marvel's Luke Cage,6.1,Série de   Cheo Hodari Coker,"['policier', 'drame', 'action']",2.0,Netflix,55.0,"['30', 'septembre', '2016']",septembre,2016
375,This Is Us,7.6,Série de   Dan Fogelman,['drame'],5.0,NBC,43.0,"['13', 'septembre', '2016']",septembre,2016
376,Fleabag,8.0,Série de   Phoebe Waller-Bridge,"['comédie', 'drame']",2.0,BBC Three,25.0,"['21', 'juillet', '2016']",juillet,2016
377,Love,6.5,"Série de   Judd Apatow,   Paul Rust et   Lesley Arfin","['comédie', 'drame']",3.0,Netflix,30.0,"['19', 'février', '2016']",février,2016
378,BrainDead,7.3,Série de   Michelle King et   Robert King,"['comédie', 'thriller', 'drame']",1.0,CBS,45.0,"['13', 'juin', '2016']",juin,2016
379,Erased,7.9,Anime de   Kishimoto Taku et   Tomohiko Itou,"['fantastique', 'drame', 'animation']",1.0,Fuji TV,25.0,"['8', 'janvier', '2016']",janvier,2016
380,Quarry,7.5,Série de   Michael D. Fuller et   Graham Gordy,"['thriller', 'policier', 'drame']",1.0,Cinemax,55.0,"['9', 'septembre', '2016']",septembre,2016
381,The Young Pope,7.5,Série de   Paolo Sorrentino,"['drame', 'mini-série']",1.0,Sky Atlantic (IT),57.0,"['21', 'octobre', '2016']",octobre,2016
382,Baron Noir,7.4,Série de   Eric Benzekri et   Jean-Baptiste Delafon,"['drame', 'thriller']",3.0,Canal+,55.0,"['8', 'février', '2016']",février,2016
383,The Good Place,7.0,Série de   Michael Schur,"['comédie', 'romance', 'fantastique']",4.0,NBC,25.0,"['19', 'septembre', '2016']",septembre,2016
384,Lucifer,6.3,Série de   Tom Kapinos,"['fantastique', 'comédie', 'policier']",6.0,Netflix,45.0,"['25', 'janvier', '2016']",janvier,2016
385,The Haunting of Hill House,7.6,Série de   Mike Flanagan,"['épouvante-horreur', 'anthologique', 'thriller']",2.0,Netflix,56.0,"['12', 'octobre', '2018']",octobre,2018
386,Sharp Objects,7.6,Série de   Marti Noxon,"['mini-série', 'drame', 'thriller']",1.0,HBO,52.0,"['1', 'juillet', '2018']",juillet,2018
387,Maniac,7.0,Série de   Patrick Somerville et   Cary Joji Fukunaga,"['science-fiction', 'mini-série', 'comédie']",1.0,Netflix,40.0,"['21', 'septembre', '2018']",septembre,2018
388,Altered Carbon,6.6,Série de   Laeta Kalogridis,"['action', 'drame', 'science-fiction']",2.0,Netflix,50.0,"['2', 'février', '2018']",février,2018
389,The Terror,7.2,"Série de   David Kajganich,   Alexander Woo et   Max Borenstein","['aventure', 'drame', 'épouvante-horreur']",2.0,AMC,50.0,"['26', 'mars', '2018']",mars,2018
390,Devilman Crybaby,7.5,Anime de   Masaaki Yuasa et   Gô Nagai,"['drame', 'fantastique', 'épouvante-horreur']",1.0,Netflix,30.0,"['5', 'janvier', '2018']",janvier,2018
391,Killing Eve,7.4,Série de   Phoebe Waller-Bridge,"['thriller', 'policier', 'drame']",4.0,AMC,40.0,"['8', 'avril', '2018']",avril,2018
392,Bodyguard,7.1,Série de   Jed Mercurio,"['thriller', 'policier', 'drame']",2.0,BBC One,60.0,"['26', 'août', '2018']",août,2018
393,Barry,7.3,Série de   Bill Hader et   Alec Berg,"['comédie', 'policier', 'drame']",3.0,HBO,30.0,"['25', 'mars', '2018']",mars,2018
394,Désenchantée,6.3,Dessin animé de   Matt Groening,"['fantastique', 'comédie', 'animation']",1.0,Netflix,30.0,"['17', 'août', '2018']",août,2018
395,Pose,8.0,"Série de   Steven Canals,   Brad Falchuk et   Ryan Murphy",['drame'],3.0,FX,45.0,"['3', 'juin', '2018']",juin,2018
396,Kidding,7.6,Série de   Dave Holstein,"['comédie', 'drame']",2.0,Showtime,30.0,"['9', 'septembre', '2018']",septembre,2018
397,Vermin,7.6,"Dessin animé de   Alexis Beaumont,   Hafid F. Benamar et   Balak","['comédie', 'animation', 'action']",Inconnu,Blackpills,10.0,"['9', 'avril', '2018']",avril,2018
398,Les Nouvelles Aventures de Sabrina,6.5,Série de   Roberto Aguirre-Sacasa,"['aventure', 'drame', 'fantastique']",2.0,Netflix,55.0,"['26', 'octobre', '2018']",octobre,2018
399,Homecoming,7.3,"Série de   Eli Horowitz,   Micah Bloomberg et   Sam Esmail","['drame', 'thriller']",2.0,Prime Video,30.0,"['2', 'novembre', '2018']",novembre,2018
400,Succession,7.9,Série de   Jesse Armstrong,['drame'],3.0,HBO,59.0,"['3', 'juin', '2018']",juin,2018
401,The Little Drummer Girl,7.3,Série de   Park Chan-wook,"['thriller', 'mini-série', 'policier']",1.0,BBC One,60.0,"['28', 'octobre', '2018']",octobre,2018
402,Hippocrate,7.5,Série de   Thomas Lilti,"['drame', 'médical']",1.0,Canal+,50.0,"['26', 'novembre', '2018']",novembre,2018
403,Waco,7.2,Série de   Drew Dowdle et   John Erick Dowdle,"['mini-série', 'policier', 'drame']",1.0,Paramount Network,45.0,"['24', 'janvier', '2018']",janvier,2018
404,Patrick Melrose,7.4,Série de   David Nicholls,"['mini-série', 'drame']",1.0,Showtime,56.0,"['12', 'mai', '2018']",mai,2018
405,You,6.2,Série de   Sera Gamble et   Greg Berlanti,"['policier', 'drame', 'romance']",2.0,Netflix,50.0,"['9', 'septembre', '2018']",septembre,2018
406,Narcos : Mexico,7.2,"Série de   Doug Miro,   Carlo Bernard et   Chris Brancato","['action', 'aventure', 'policier']",2.0,Netflix,55.0,"['16', 'novembre', '2018']",novembre,2018
407,Violet Evergarden,7.3,"Anime de   Taichi Ishidate,   Kana Akatsuki,   Haruka Fujita...","['romance', 'fantasy', 'guerre']",1.0,Tokyo MX,25.0,"['11', 'janvier', '2018']",janvier,2018
408,Escape at Dannemora,7.5,Série de   Brett Johnson et   Michael Tolkin,"['drame', 'mini-série']",1.0,Showtime,60.0,"['18', 'novembre', '2018']",novembre,2018
409,The Looming Tower,7.3,"Série de   Dan Futterman,   Alex Gibney et   Lawrence Wright","['thriller', 'mini-série', 'drame']",1.0,Hulu,50.0,"['28', 'février', '2018']",février,2018
410,Chernobyl,8.5,Série de   Craig Mazin,"['drame', 'historique', 'mini-série']",1.0,HBO,65.0,"['6', 'mai', '2019']",mai,2019
411,The Boys,7.7,Série de   Eric Kripke,"['fantastique', 'action']",3.0,Prime Video,60.0,"['26', 'juillet', '2019']",juillet,2019
412,Watchmen,7.8,Série de   Damon Lindelof,"['drame', 'fantastique', 'mini-série']",1.0,HBO,60.0,"['20', 'octobre', '2019']",octobre,2019
413,"Love, Death & Robots",7.4,Dessin animé de   Tim Miller,"['science-fiction', 'fantastique', 'épouvante-horreur']",1.0,Netflix,10.0,"['15', 'mars', '2019']",mars,2019
414,Sex Education,7.1,Série de   Laurie Nunn,"['comédie', 'drame']",3.0,Netflix,51.0,"['11', 'janvier', '2019']",janvier,2019
415,Euphoria,7.8,Série de   Sam Levinson,['drame'],2.0,HBO,54.0,"['16', 'juin', '2019']",juin,2019
416,The Mandalorian,7.0,Série de   Jon Favreau,"['action', 'aventure', 'science-fiction']",2.0,Disney+,39.0,"['12', 'novembre', '2019']",novembre,2019
417,The Umbrella Academy,6.8,Série de   Jeremy Slater et   Steve Blackman,"['fantastique', 'action', 'drame']",2.0,Netflix,47.0,"['15', 'février', '2019']",février,2019
418,Years and Years,7.7,Série de   Russell T. Davies,"['mini-série', 'drame']",1.0,BBC One,60.0,"['14', 'mai', '2019']",mai,2019
419,Dans leur regard,8.1,Série de   Ava DuVernay,"['thriller', 'mini-série']",1.0,Netflix,64.0,"['31', 'mai', '2019']",mai,2019
420,Poupée russe,6.9,"Série de   Amy Poehler,   Natasha Lyonne et   Leslye Headland","['comédie', 'dramatique']",2.0,Netflix,30.0,"['1', 'février', '2019']",février,2019
421,The Witcher,6.5,Série de   Lauren Schmidt Hissrich,"['aventure', 'fantasy']",1.0,Netflix,60.0,"['20', 'décembre', '2019']",décembre,2019
422,Kingdom,7.3,Drama de   Kim Sung-hoon,"['épouvante-horreur', 'historique']",2.0,Netflix,55.0,"['25', 'janvier', '2019']",janvier,2019
423,Good Omens,7.2,Série de   Neil Gaiman,"['comédie', 'mini-série', 'fantastique']",1.0,Prime Video,60.0,"['31', 'mai', '2019']",mai,2019
424,Unbelievable,7.7,"Série de   Susannah Grant,   Michael Chabon et   Ayelet Waldman","['policier', 'drame', 'mini-série']",1.0,Netflix,45.0,"['13', 'septembre', '2019']",septembre,2019
425,Dark Crystal : Le Temps de la résistance,7.7,Dessin animé de   Jeffrey Addiss et   Will Matthews,"['fantasy', 'aventure', 'jeunesse']",1.0,Netflix,50.0,"['30', 'août', '2019']",août,2019
426,His Dark Materials : À la croisée des mondes,6.9,Série de   Jack Thorne,"['action', 'aventure', 'fantasy']",2.0,BBC One,57.0,"['3', 'novembre', '2019']",novembre,2019
427,After Life,7.3,Série de   Ricky Gervais,"['comédie', 'drame']",3.0,Netflix,28.0,"['8', 'mars', '2019']",mars,2019
428,Too Old to Die Young,6.9,Série de   Ed Brubaker et   Nicolas Winding Refn,"['policier', 'drame']",1.0,Prime Video,76.0,"['14', 'juin', '2019']",juin,2019
429,What We Do In The Shadows,7.4,Série de   Jemaine Clement,"['comédie', 'épouvante-horreur']",3.0,FX,23.0,"['27', 'mars', '2019']",mars,2019
430,Undone,7.6,Dessin animé de   Kate Purdy et   Raphael Bob-Waksberg,"['animation', 'drame', 'fantastique']",2.0,Prime Video,25.0,"['13', 'septembre', '2019']",septembre,2019
431,Carnival Row,6.8,Série de   René Echevarria et   Travis Beacham,"['fantastique', 'thriller', 'policier']",2.0,Prime Video,50.0,"['30', 'août', '2019']",août,2019
432,Notre planète,8.5,"Série de   David Attenborough,   Adam Chapman,   Hugh Pearson...","['documentaire', 'mini-série']",1.0,Netflix,50.0,"['5', 'avril', '2019']",avril,2019
433,L'Effondrement,7.5,"Série de   Guillaume Desjardins,   Jérémy Bernard et   Bastien Ughetto","['mini-série', 'drame']",1.0,Canal+,20.0,"['11', 'novembre', '2019']",novembre,2019
434,L'Attaque des Titans 3 - Partie 2,8.7,"Anime de   Yasuko Kobayashi,   Hajime Isayama,   Masashi Koizuka...","['guerre', 'épouvante-horreur', 'shōnen']",1.0,NHK,25.0,"['29', 'avril', '2019']",avril,2019
