,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie
The Tomorrow People,5.1,"Série de   Phil Klemmer,   Greg Berlanti et   Julie Plec","Science-fiction, drame et action",1 saison(terminée),The CW,45 min,9 octobre 2013
Pokémon : les origines,7.0,"Anime de   Itsuro Kawasaki,   Yukio Kuroda,   Hideya Takahashi...","Animation, mini-série, aventure",1 saison(terminée),TV Tokyo,22 min,2 octobre 2013
Lazy Company,7.0,Série de   Samuel Bodin et   Alexandre Philip,Comédie,3 saisons(terminée),OCS,20 min,18 janvier 2013
Steven Universe,7.7,Dessin animé de   Rebecca Sugar,"Aventure, animation, jeunesse",5 saisons(terminée),Cartoon Network,10 min,27 juillet 2013
Please Like Me,7.7,Série de   Josh Thomas,Comédie et drame,4 saisons(terminée),ABC Comedy (AU),25 min,28 février 2013
The White Queen,6.1,Série de   Emma Frost,Mini-série et drame,1 saison(terminée),BBC One,1 h,10 août 2013
The Crazy Ones,5.5,Série de   David E. Kelley,Comédie,1 saison(terminée),CBS,25 min,26 septembre 2013
Mom,6.3,"Série de   Chuck Lorre,   Eddie Gorodetsky et   Gemma Baker",Comédie,8 saisons(en cours),CBS,21 min,9 septembre 2013
Axolot,8.0,Émission Web de   Patrick Baud,Documentaire,(en cours),YouTube,12 min,20 juin 2013
The Fosters,6.1,Série de   Peter Paige et   Brad Bredeweg,Drame,5 saisons(terminée),Freeform,45 min,3 juin 2013
Dracula,5.1,Série de   Cole Haddon,"Romance, Épouvante-horreur et drame",1 saison(terminée),NBC,45 min,25 octobre 2013
Southcliffe,6.7,Série de   Tony Grisoni,Drame,1 saison(terminée),Channel 4,1 h,4 août 2013
Once Upon a Time in Wonderland,4.6,"Série de   Jane Espenson,   Zack Estrin et   Adam Horowitz","Aventure, drame et fantasy",1 saison(terminée),ABC (US),45 min,10 octobre 2013
Witches of East End,5.5,Série de   Maggie Friedman,"Drame, fantasy et thriller",2 saisons(terminée),Lifetime,45 min,6 octobre 2013
Mr Selfridge,6.8,Série de   Andrew Davies,Drame,4 saisons(terminée),ITV,1 h,6 janvier 2013
Falco,5.7,"Série de   Alexandre Laurent,   Thierry Petit et   Marwen Abdallah",Policier et drame,4 saisons(terminée),TF1,1 h,20 juin 2013
Family Tree,6.2,Série de   Christopher Guest et   Jim Piddock,Comédie,1 saison(terminée),HBO,30 min,12 mai 2013
Hajime no Ippo: The Fighting! : Rising,7.9,Anime de   George Morikawa et   Jun Shishido,"Animation, action, sport",1 saison(terminée),NTV (JP),25 min,6 octobre 2013
Hostages,5.3,Série de   Rotem Shamir,Thriller et drame,1 saison(arrêtée),CBS,45 min,23 septembre 2013
Ravenswood,4.3,"Série de   Joseph Dougherty,   Oliver Goldstick et   I. Marlene King",Épouvante-horreur et drame,1 saison(terminée),Freeform,45 min,22 octobre 2013
Mob City,6.3,Série de   Frank Darabont,Policier et drame,1 saison(terminée),TNT (US),45 min,4 décembre 2013
Gargantia on the Verdurous Planet,6.9,"Anime de   Kazuya Murata,   Gen Urobuchi et   Naruko Hanaharu","Animation, comédie, drame",1 saison(terminée),Tokyo MX,25 min,2 mars 2013
Graceland,6.2,Série de   Jeff Eastin,"Policier, drame et action",3 saisons(terminée),USA Network,45 min,6 juin 2013
Low Winter Sun (US),6.1,Série de   Chris Mundy,Policier et drame,1 saison(terminée),AMC,1 h,11 août 2013
The Bridge,6.6,"Série de   Meredith Stiehm,   Björn Stein et   Elwood Reid",Policier et drame,2 saisons(terminée),FX,45 min,10 juillet 2013
Plebs,7.0,Série de   Tom Basden et   Sam Leifer,Comédie,5 saisons(en cours),ITV2,30 min,25 mars 2013
Log Horizon,6.8,Anime de   Shinji Ishihara et   Mamare Tôno,"Aventure, action, fantastique",2 saisons(terminée),NHK,25 min,6 septembre 2013
Le mari de la ministre,7.1,Série de   Paula Milne,Drame et mini-série,1 saison(terminée),BBC Two,55 min,25 avril 2013
Silver Spoon,7.3,Anime de   Hiromu Arakawa et   Tomohiko Itou,"Animation, drame et comédie",1 saison(terminée),Fuji TV,25 min,12 juillet 2013
BiTS,8.1,Émission Web de   Joseph Vasconi et   Rafik Djoumi,Documentaire,4 saisons(terminée),Arte Creative,10 min,16 octobre 2013
Getting On (US),6.6,Série de   Mark V. Olsen et   Will Scheffer,Comédie dramatique,3 saisons(terminée),HBO,30 min,24 novembre 2013
True Detective,8.2,Série de   Nic Pizzolatto,"Policier, drame et anthologique",3 saisons(en cours),HBO,59 min,12 janvier 2014
Fargo,8.2,Série de   Noah Hawley,"Comédie, policier, drame",4 saisons(en cours),FX,50 min,15 avril 2014
The Leftovers,7.7,Série de   Damon Lindelof et   Tom Perrotta,Drame et fantastique,3 saisons(terminée),HBO,55 min,30 juin 2014
The Knick,7.7,Série de   Jack Amiel et   Michael Begler,Drame,2 saisons(terminée),Cinemax,55 min,8 août 2014
Penny Dreadful,6.8,Série de   John Logan,"Fantastique, Épouvante-horreur et drame",3 saisons(arrêtée),Showtime,1 h,11 mai 2014
Les 100,5.9,Série de   Jason Rothenberg,"Action, drame, science-fiction",7 saisons(en cours),The CW,41 min,19 mars 2014
Silicon Valley,7.3,"Série de   Mike Judge,   John Altschuler et   Dave Krinsky",Comédie,6 saisons(terminée),HBO,30 min,6 avril 2014
Gotham,6.1,Série de   Bruno Heller,"Policier, action, drame",5 saisons(terminée),FOX (US),45 min,18 août 2014
Halt and Catch Fire,7.5,Série de   Christopher Cantwell et   Christopher C. Rogers,Drame,4 saisons(terminée),AMC,45 min,1 juin 2014
Flash,5.7,"Série de   Greg Berlanti,   Andrew Kreisberg et   Geoff Johns","Action, aventure, drame",7 saisons(en cours),The CW,45 min,7 octobre 2014
Mr. Robot,7.6,Série de   Sam Esmail,Drame et thriller,4 saisons(terminée),USA Network,50 min,24 juin 2015
Marvel's Daredevil,7.2,Série de   Drew Goddard,"Action, aventure, policier",3 saisons(terminée),Netflix,55 min,10 avril 2015
Sense8,7.3,"Série de   J. Michael Straczynski,   Lilly Wachowski et   Lana Wachowski",Science-fiction et drame,2 saisons(arrêtée),Netflix,55 min,5 juin 2015
Narcos,7.7,"Série de   Doug Miro,   Carlo Bernard et   Chris Brancato","Policier, drame et action",3 saisons(terminée),Netflix,50 min,28 août 2015
Marvel's Jessica Jones,6.7,Série de   Melissa Rosenberg,"Action, policier, drame",3 saisons(terminée),Netflix,50 min,20 novembre 2015
Master of None,7.3,Série de   Alan Yang et   Aziz Ansari,Comédie,2 saisons(en cours),Netflix,30 min,6 novembre 2015
Man Seeking Woman,7.2,Série de   Simon Rich,Fantastique et comédie,3 saisons(terminée),FX,30 min,14 janvier 2015
Le Maître du Haut-Château,7.0,Série de   Frank Spotnitz,Drame et thriller,4 saisons(terminée),Prime Video,1 h,15 janvier 2015
Bloodline,7.0,"Série de   Glenn Kessler,   Todd A. Kessler et   Daniel Zelman",Thriller et drame,3 saisons(arrêtée),Netflix,1 h,20 mars 2015
UnREAL,6.9,Série de   Marti Noxon et   Sarah Gertrude Shapiro,Drame,4 saisons(terminée),Hulu,45 min,1 juin 2015
Stranger Things,7.7,Série de   Matt Duffer et   Ross Duffer,"Science-fiction, fantastique, Épouvante-horreur",4 saisons(en cours),Netflix,51 min,15 juillet 2016
