,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie
Millenium,7.6,Série de   Daniel Alfredson et   Niels Arden Oplev,"Thriller, policier et action",1 saison(terminée),SVT,1 h 30 min,20 mars 2010
Maison close,6.1,Série de   Jacques Ouaniche,Drame,2 saisons(terminée),Canal+,55 min,4 octobre 2010
Pretty Little Liars,5.2,Série de   I. Marlene King,Drame et thriller,7 saisons(terminée),Freeform,45 min,8 juin 2010
Hawaii 5-0,5.0,"Série de   Roberto Orci,   Peter M. Lenkov et   Alex Kurtzman","Policier, comédie et action",10 saisons(terminée),CBS,45 min,20 septembre 2010
Avengers : L'équipe des Super Héros,6.5,"Dessin animé de   Joshua Fine,   Jack Kirby et   Stan Lee","Action, animation et fantasy",2 saisons(terminée),Disney XD,25 min,8 octobre 2010
Rainbow,7.8,"Anime de   Hiroshi Kôjina,   Masasumi Kakizaki et   George Abe","Thriller, drame, historique",1 saison(terminée),NTV (JP),25 min,6 avril 2010
Bakuman.,7.3,Anime de   Kasai Ken'ichi et   Akitaya Noriaki,"Romance, shōnen et comédie",3 saisons(terminée),AnimeDigitalNetwork,25 min,2 octobre 2010
Shameless (US),7.6,Série de   Paul Abbott,Comédie et drame,11 saisons(en cours),Showtime,1 h,12 décembre 2010
Nikita,5.7,Série de   Craig Silverstein,"Policier, drame et action",4 saisons(terminée),The CW,45 min,9 septembre 2010
Black Lagoon: Roberta`s Blood Trail,7.3,"Anime (OAV) de   Rei Hiroe,   Shino Masanori et   Sunao Katabuchi","Drame, action et animation",1 saison(terminée),33 min,27 juin 2010,Inconnu
Terriers,7.5,Série de   Ted Griffin,Drame,1 saison(terminée),FX,45 min,8 septembre 2010
Angel Beats!,7.0,"Anime de   Na-Ga,   Seiji Kishi et   Jun Maeda","Animation, drame, seinen",1 saison(terminée),Tokyo Broadcasting System,25 min,2 avril 2010
The Event,5.5,Série de   Nick Wauters,"Action, aventure, drame",1 saison(terminée),NBC,45 min,20 septembre 2010
Epic Rap Battles of History,7.1,Émission Web de   Epic Lloyd et   Nice Peter,Comédie,(en cours),YouTube,10 min,26 septembre 2010
Les Mystères de Haven,6.1,Série de   Scott Shepherd,"Fantastique, policier, science-fiction",5 saisons(terminée),SyFy,45 min,9 juillet 2010
High School of the Dead,6.0,"Anime de   Tetsurō Araki,   Daisuke Satô et   Shôji Satô (mangaka)","Shōnen, action et romance",1 saison(terminée),TV Tokyo,25 min,27 juin 2010
Blue Bloods,5.8,Série de   Mitchell Burgess et   Robin Green,Policier et drame,11 saisons(en cours),CBS,45 min,24 septembre 2010
Blue Mountain State,6.9,Série de   Eric Falconer et   Chris Romano,Comédie et sport,3 saisons(terminée),Paramount Network,25 min,11 janvier 2010
Cyanide & Happiness Shorts,7.7,"Émission Web de   Dave McElfatrick,   Rob Denbleyker,   Matt Melvin...",Comédie et animation,1 saison(en cours),YouTube,2 min,1 février 2010
Panty & Stocking with Garterbelt,7.6,Anime de   Gainax et   Hiroyuki Imaishi,"Animation, comédie, action",1 saison(terminée),Tokyo MX,25 min,2 octobre 2010
Parlons VF,7.5,Émission Web de   Misterfox,Documentaire et mini-série,4 saisons(en cours),YouTube,20 min,1 septembre 2010
Carlos,7.2,Série de   Daniel Leconte et   Olivier Assayas,"Biopic, thriller, policier",1 saison(terminée),Canal+,1 h 44 min,19 mai 2010
Cobra The Animation,7.0,Anime de   Buichi Terasawa,Animation,1 saison(terminée),BS11,25 min,2 janvier 2010
Dragons et Princesses,7.9,Série de   Michel Ocelot,"Animation, jeunesse, fantasy",1 saison(terminée),Canal + Family,13 min,25 octobre 2010
Black Butler II,6.3,Anime de   Hirofumi Ogura et   Yana Toboso,"Animation, comédie, drame",1 saison(terminée),Tokyo Broadcasting System,25 min,1 juillet 2010
J'ai jamais su dire non,6.9,Websérie de   Slimane-Baptiste Berhoun,Comédie,1 saison(terminée),YouTube,10 min,11 avril 2010
My Little Pony: Les Amies c'est Magique!,5.7,Dessin animé de   Lauren Faust,"Aventure, animation, jeunesse",5 saisons(terminée),Discovery Family,25 min,10 octobre 2010
Lip Service,6.5,Série de   Harriet Braun,Drame,2 saisons(terminée),BBC Three,1 h,12 octobre 2010
Clem,4.2,Série de   Joyce Buñuel,Comédie et drame,10 saisons(en cours),TF1,55 min,22 février 2010
Parenthood,6.9,Série de   Jason Katims,Drame,6 saisons(terminée),NBC,45 min,2 mars 2010
L'ANALYSE de MisterJDay,7.3,Émission Web de   MisterJDay,Comédie,6 saisons(en cours),YouTube,15 min,22 novembre 2010
Mongrels,7.8,Série de   Adam Miller,Comédie,2 saisons(terminée),BBC Three,30 min,22 juin 2010
Shiki,7.3,"Anime de   Tetsuro Amino,   Ochi Shinji,   Fuyumi Ono...","Fantastique, seinen, animation",1 saison(terminée),Fuji TV,25 min,9 juillet 2010
Beelzebub,6.8,Anime de   Tamura Ryuuhei et   Nobuhiro Takamoto,"Animation, comédie, fantastique",1 saison(terminée),Animax,25 min,23 octobre 2010
"Hatufim, prisonniers de guerre",7.6,Série de   Gideon Raff,Drame,2 saisons(terminée),Keshet,1 h,6 mars 2010
Secret Garden,7.1,Drama de   Shin Woo-Cheol et   Kwon Hyuk-Chan,"Comédie, drame, fantasy",1 saison(terminée),SBS (KR),1 h 10 min,13 novembre 2010
Zig et Sharko,5.5,Dessin animé de   Olivier Jean-Marie,Animation,1 saison(en cours),Gulli,7 min,21 décembre 2010
Super Hero Family,5.3,Série de   Greg Berlanti et   Jon Harmon Feldman,Drame et fantasy,1 saison(terminée),ABC (US),45 min,21 août 2010
