,Nom,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie,Mois,Année,Saison,Pays,series_policier,series_drame,series_thriller,series_épouvante-horreur,series_mini-série,series_guerre,series_action,series_historique,series_aventure,series_fantasy,series_comédie,series_animation,series_jeunesse,series_documentaire,series_dramatique,series_romance,series_shōnen,series_seinen,series_fantastique,series_science-fiction,series_sport,series_biopic,series_musique,series_anthologique,series_judiciaire,series_western,series_médical,series_télé-réalité
56,Mongrels,7.8,Série de   Adam Miller,['comédie'],2.0,BBC Three,30.0,"['22', 'juin', '2010']",juin,2010,été,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Shiki,7.3,"Anime de   Tetsuro Amino,   Ochi Shinji,   Fuyumi Ono...","['fantastique', 'seinen', 'animation']",1.0,Fuji TV,25.0,"['9', 'juillet', '2010']",juillet,2010,été,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Beelzebub,6.8,Anime de   Tamura Ryuuhei et   Nobuhiro Takamoto,"['animation', 'comédie', 'fantastique']",1.0,Animax,25.0,"['23', 'octobre', '2010']",octobre,2010,automne,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"Hatufim, prisonniers de guerre",7.6,Série de   Gideon Raff,['drame'],2.0,Keshet,60.0,"['6', 'mars', '2010']",mars,2010,printemps,Israel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Secret Garden,7.1,Drama de   Shin Woo-Cheol et   Kwon Hyuk-Chan,"['comédie', 'drame', 'fantasy']",1.0,SBS (KR),70.0,"['13', 'novembre', '2010']",novembre,2010,automne,Korea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Zig et Sharko,5.5,Dessin animé de   Olivier Jean-Marie,['animation'],1.0,Gulli,7.0,"['21', 'décembre', '2010']",décembre,2010,hiver,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Super Hero Family,5.3,Série de   Greg Berlanti et   Jon Harmon Feldman,"['drame', 'fantasy']",1.0,ABC (US),45.0,"['21', 'août', '2010']",août,2010,été,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Les Invincibles,6.9,Série de   Jean-François Rivard et   François Létourneau,['comédie'],2.0,Arte,50.0,"['9', 'mars', '2010']",mars,2010,printemps,Germany/France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Life Unexpected,6.0,Série de   Liz Tigelaar,['drame'],2.0,The CW,45.0,"['18', 'janvier', '2010']",janvier,2010,hiver,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,The Hard Times of RJ Berger,5.8,Série de   Seth Grahame-Smith et   David Katzenberg,['comédie'],2.0,MTV (US),25.0,"['6', 'juin', '2010']",juin,2010,été,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Hot in Cleveland,6.0,Série de   Suzanne Martin,['comédie'],6.0,TV Land,25.0,"['16', 'juin', '2010']",juin,2010,été,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Come Fly With Me,7.7,Série de   David Walliams et   Matt Lucas,['comédie'],1.0,BBC One,30.0,"['25', 'décembre', '2010']",décembre,2010,hiver,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Vous les femmes,5.4,Série,"['comédie', 'mini-série']",3.0,téva,2.0,"['13', 'mars', '2010']",mars,2010,printemps,France,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,The Gates,5.5,Série de   Richard Hatem,"['fantastique', 'policier', 'drame']",1.0,ABC (US),45.0,"['20', 'juin', '2010']",juin,2010,été,USA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
